timestamp,throughput_mbps,active_users,packet_loss,future_throughput
0,78.37753180708317,5,0.3769140460803328,85.33758535655593
1,85.33758535655593,6,0.9573394953042939,80.35501286979648
2,80.35501286979648,7,1.3608376348078057,74.11511756070135
3,74.11511756070135,10,2.2519591240365098,76.16137466409691
4,76.16137466409691,10,2.6479719988405925,76.1870944353208
5,76.1870944353208,9,2.7881788835880132,74.10475970795795
6,74.10475970795795,10,3.3634739754203813,73.80603204409921
7,73.80603204409921,10,3.4864687414011852,74.24818495845808
8,74.24818495845808,9,3.4574209447359316,67.41586904442735
9,67.41586904442735,9,3.4002995460090593,57.144461227922754
10,57.144461227922754,10,3.5114603551602808,50.58488652079566
11,50.58488652079566,10,3.607351215555203,36.44182590256406
12,36.44182590256406,10,3.903065666770326,41.862127630072315
13,41.862127630072315,9,3.887068133355069,46.29386681856379
14,46.29386681856379,10,4.295910530507295,41.98747628884828
15,41.98747628884828,10,4.257461387779976,46.59817011601298
16,46.59817011601298,10,4.226327522332846,52.751259376273204
17,52.751259376273204,9,4.094309449683867,44.77089947507344
18,44.77089947507344,9,4.339828060622139,40.20268165679811
19,40.20268165679811,8,4.227928070930209,44.37711555880032
20,44.37711555880032,7,4.247089072139196,47.08027166016269
21,47.08027166016269,7,4.149094631722613,51.556519348433625
22,51.556519348433625,7,3.947320076319693,44.431811694049564
23,44.431811694049564,6,4.012602785083666,49.98586703058624
24,49.98586703058624,5,3.4601934835069477,48.19514491399222
25,48.19514491399222,5,3.235897644472357,54.76647006510071
26,54.76647006510071,4,2.9832428264608537,55.18315295955899
27,55.18315295955899,5,2.8986403031568884,61.40560692430888
28,61.40560692430888,5,2.5336164655804003,68.65802056432736
29,68.65802056432736,5,2.680352540205601,72.78683763840786
30,72.78683763840786,6,2.620468160093489,71.57995906178958
31,71.57995906178958,6,2.4982672630486538,76.41232715513416
32,76.41232715513416,5,2.3621534976548686,84.04424272618782
33,84.04424272618782,6,2.3058379512771343,83.83847088349326
