timestamp,latency_ms,jitter_ms,packet_loss,active_users,future_latency_ms
0,3.996861590781271,0.7887369968334816,0.2306582485501336,7,4.449064302411328
1,4.449064302411328,0.28169533161477267,0.3263404935061903,8,4.414747704045593
2,4.414747704045593,0.5884604861095744,0.3086418582842159,7,4.5342704523184745
3,4.5342704523184745,0.8479987846432302,0.38399530471708115,8,5.1796551956812875
4,5.1796551956812875,0.571266323251682,0.33946676035846407,8,4.228064215760311
5,4.228064215760311,0.49611118892561945,0.0,8,4.231097875475352
6,4.231097875475352,0.6509699258704051,0.19053905911991667,7,4.112128444602967
7,4.112128444602967,0.6766655484811197,0.26319995734082235,7,4.101759533555961
8,4.101759533555961,0.5466309872889973,0.0,7,3.88536930063553
9,3.88536930063553,0.11707355452188817,0.0,6,3.691929130826193
10,3.691929130826193,0.1416864443328211,0.0,6,3.29949943549444
11,3.29949943549444,0.2776027443900145,0.0,5,3.3453439291898173
12,3.3453439291898173,0.6134077892856069,0.23847775867124163,6,4.27187869612861
13,4.27187869612861,0.18657400825623552,0.005152029291715432,7,3.5415086331531094
14,3.5415086331531094,0.3201866648461662,0.21693594247617437,6,3.92819118798538
15,3.92819118798538,0.5988201240905384,0.05753903005728303,7,4.242711833679683
16,4.242711833679683,0.26255361380464776,0.5390330972774221,7,4.427870108063417
17,4.427870108063417,0.34259179113657634,0.1401273339934513,7,4.757162431122631
18,4.757162431122631,0.1599300088959722,0.19212778041855208,6,3.173644678320305
19,3.173644678320305,0.17520918284992532,0.10558799486149253,5,3.8575753670559423
20,3.8575753670559423,0.20131596605685148,0.0788812842997023,5,3.361429431517675
21,3.361429431517675,0.3117484053084895,0.0,5,3.838052044005684
22,3.838052044005684,0.17048532137894634,0.2892617262509596,4,4.4773562788972034
23,4.4773562788972034,0.6679094863235644,0.3280064497062453,5,2.610778473651893
24,2.610778473651893,0.04826147409545681,0.0,4,2.7684683781870243
25,2.7684683781870243,0.18575222419294002,0.11741445483038426,3,2.8726437770466346
26,2.8726437770466346,0.13958786408064522,0.4413120248657417,3,3.395332833876589
27,3.395332833876589,0.24879600404341895,0.31924770336757735,3,2.6347134526803457
28,2.6347134526803457,0.8164918403290269,0.22721324425539463,4,3.605723937853266
29,3.605723937853266,0.19712572501473188,0.014833766501419238,4,3.520299316899162
30,3.520299316899162,0.4646654966480308,0.24864044750678038,5,2.5790436003287116
31,2.5790436003287116,0.037658942069448254,0.0,5,3.4591634497447865
32,3.4591634497447865,0.5856534115098074,0.40725572739057836,5,3.4380598863995746
33,3.4380598863995746,0.3807055654328633,0.15940200241998048,4,4.182145857875428
34,4.182145857875428,0.473849400470201,0.474783430803655,5,3.5805361996744605
35,3.5805361996744605,0.4743323925370714,0.19220766517463475,5,3.4665701474900605
36,3.4665701474900605,0.6097061131723613,0.0,5,2.200935197663647
37,2.200935197663647,0.5452415707236556,0.023309207787414937,4,2.86720934577835
38,2.86720934577835,0.5658135883918096,0.0,3,1.9778457870263813
39,1.9778457870263813,0.0,0.0,2,2.1547804543374176
40,2.1547804543374176,0.394732452682549,0.0,2,2.742576914584808
41,2.742576914584808,0.24785596617208458,0.0,2,2.968202227947107
42,2.968202227947107,0.5645534183874796,0.21610632861836904,3,2.5363169473297518
43,2.5363169473297518,0.0,0.11053575346402968,2,1.854827956168824
44,1.854827956168824,0.2314641933648321,0.0,2,1.1934763752993693
45,1.1934763752993693,0.0,0.0544187049923922,1,1.9485072630189713
46,1.9485072630189713,0.31352065490957803,0.0,2,1.6720309589629494
47,1.6720309589629494,0.04736260321527748,0.0,2,2.4427679236428856
48,2.4427679236428856,0.02849929861349393,0.24158730437414092,1,1.992300338731766
49,1.992300338731766,0.0,0.0,1,2.8250805708747135
50,2.8250805708747135,0.14368572351070086,0.26206023385687915,1,2.521919287676016
51,2.521919287676016,0.2992370873194161,0.24213917084120223,2,3.010921025079627
52,3.010921025079627,0.39058790946577643,0.1460581646817225,2,2.5143955544519283
53,2.5143955544519283,0.21318793373784597,0.6658104488614687,2,3.253444660419612
54,3.253444660419612,0.24875632627337388,0.14630117798560163,3,3.1065695874602413
55,3.1065695874602413,0.41383866692089744,0.10029947043544876,4,3.7272777440590334
56,3.7272777440590334,0.9002046142036357,0.0,4,3.533402587488898
57,3.533402587488898,0.4345965535156766,0.45278672453098406,4,2.4066386721196906
58,2.4066386721196906,0.03786940134142125,0.26638883921368306,4,3.9482582152520003
59,3.9482582152520003,0.1308136853474285,0.32897440415277923,5,4.24012483339467
60,4.24012483339467,0.3747364501246747,0.03392851977451153,6,3.334977457193589
61,3.334977457193589,0.4725623155302844,0.26208313106464914,7,4.233146245216029
62,4.233146245216029,0.2644917322054968,0.17208922243690922,7,4.826968776295735
63,4.826968776295735,0.309631433824219,0.3409240358582311,7,3.6133152302977796
64,3.6133152302977796,0.1634478005070592,0.17945113447785957,8,5.036767633573092
65,5.036767633573092,0.30244575666764223,0.2557570738650444,8,4.48545352943544
