experiment,active_users,step,eMBB_prediction,URLLC_prediction,mMTC_prediction,eMBB_pressure,URLLC_pressure,mMTC_pressure,eMBB_PRBs,URLLC_PRBs,mMTC_PRBs
1UE,1,0,8.28644,1.8419087,633.77124,0.15351699999999996,0.48547717500000004,0.7040406142857143,23,44,33
1UE,1,1,8.0704,1.8762685,609.3506,0.16972,0.49406712499999994,0.6778756428571429,24,44,32
1UE,1,2,8.067764,1.8046479,614.8267,0.16991769999999995,0.476161975,0.6837428928571428,24,44,32
1UE,1,3,8.137126,1.7671711,613.81244,0.16471555,0.46679277500000005,0.6826561857142858,24,44,32
1UE,1,4,8.049718,1.8312439,616.3792,0.17127114999999998,0.48281097500000003,0.6854062857142857,24,44,32
1UE,1,5,8.072429,1.8213383,623.25995,0.169567825,0.48033457500000004,0.692778517857143,24,44,32
1UE,1,6,8.135231,1.8823955,618.15875,0.16485767500000004,0.4955988750000001,0.6873129464285715,23,45,32
1UE,1,7,7.913312,1.8476567,617.1453,0.18150159999999999,0.486914175,0.6862271071428572,24,44,32
1UE,1,8,7.7600574,1.8504819,615.321,0.192995695,0.487620475,0.6842725000000001,24,44,32
1UE,1,9,7.8952594,1.8179566,621.0368,0.182855545,0.47948915000000003,0.6903965714285715,24,44,32
1UE,1,10,7.98474,1.8405534,626.7902,0.17614449999999998,0.48513835000000005,0.6965609285714286,24,44,32
1UE,1,11,7.95299,1.853015,624.54456,0.17852575,0.48825375000000004,0.6941548857142859,24,44,32
1UE,1,12,7.8167443,1.9003199,628.55,0.18874417749999997,0.500079975,0.6984464285714286,24,44,32
1UE,1,13,8.023183,1.8063573,632.0788,0.17326127500000005,0.47658932500000006,0.7022272857142857,24,44,32
1UE,1,14,8.027628,1.8436176,633.87836,0.1729279,0.4859044,0.7041553857142858,24,44,32
1UE,1,15,8.076962,1.8419822,636.8651,0.16922785,0.48549555,0.7073554642857143,24,44,32
1UE,1,16,8.279162,1.8477237,630.1278,0.15406285,0.486930925,0.7001369285714286,23,45,32
1UE,1,17,8.28386,1.8301613,628.8187,0.15371049999999994,0.482540325,0.6987343214285714,23,44,33
1UE,1,18,8.251315,1.8280963,626.4228,0.15615137499999998,0.482024075,0.6961672857142859,23,45,32
1UE,1,19,8.167856,1.8415476,627.3532,0.1624108,0.4853869,0.6971641428571429,23,45,32
1UE,1,20,7.940658,1.8835571,633.93054,0.17945064999999996,0.495889275,0.7042112928571428,24,44,32
1UE,1,21,7.6251125,1.8005177,633.4836,0.20311656250000001,0.4751294250000001,0.7037324285714286,24,44,32
1UE,1,22,7.837433,1.6177537,636.5904,0.18719252499999997,0.42943842500000007,0.7070611428571429,24,43,33
1UE,1,23,7.922975,1.56427,639.51013,0.180776875,0.41606750000000003,0.7101894249999999,24,43,33
1UE,1,24,7.871572,1.2708858,636.8485,0.1846321,0.34272145000000004,0.7073376785714286,24,42,34
1UE,1,25,7.9197493,1.3036925,638.8007,0.18101880249999994,0.350923125,0.7094293214285715,24,42,34
1UE,1,26,7.882523,1.4221723,630.4916,0.18381077499999998,0.380543075,0.7005267142857142,24,42,34
1UE,1,27,8.203736,1.4172261,627.96246,0.15971980000000005,0.379306525,0.6978169214285713,24,42,34
1UE,1,28,8.3161125,1.4894608,626.8703,0.15129156250000006,0.39736520000000003,0.6966467500000001,23,43,34
1UE,1,29,8.134916,1.2767792,624.1279,0.16488129999999993,0.3441948,0.6937084642857142,24,42,34
2UE,2,0,7.570785,1.7210699,646.1899,0.232191125,0.48026747500000005,0.7423463214285715,25,43,32
2UE,2,1,7.2073607,1.7588761,647.76117,0.25944794750000005,0.48971902500000003,0.744029825,25,43,32
2UE,2,2,7.5972867,1.7424222,647.98596,0.23020349750000002,0.48560555,0.7442706714285715,24,44,32
2UE,2,3,7.6893687,1.8549956,647.9388,0.22329734750000002,0.5137489000000001,0.7442201428571429,24,44,32
2UE,2,4,7.684716,1.904072,645.9638,0.22364629999999996,0.526018,0.7421040714285715,24,44,32
2UE,2,5,7.4212713,1.9535978,644.5057,0.24340465250000004,0.5383994500000001,0.7405418214285715,24,44,32
2UE,2,6,7.690956,1.9599476,645.70636,0.2231783,0.5399869,0.741828242857143,24,44,32
2UE,2,7,7.75604,1.8717382,646.0575,0.21829700000000002,0.51793455,0.7422044642857144,24,44,32
2UE,2,8,7.871357,1.8823045,646.28784,0.20964822500000002,0.5205761250000001,0.7424512571428571,24,44,32
2UE,2,9,7.954693,1.9373816,647.8952,0.20339802500000004,0.5343454,0.7441734285714287,24,44,32
2UE,2,10,7.9541526,1.891562,648.15155,0.20343855500000002,0.5228905,0.7444480892857144,24,44,32
2UE,2,11,8.071323,1.8680315,648.79156,0.19465077500000005,0.5170078750000001,0.7451338142857143,24,44,32
2UE,2,12,7.788962,1.7221576,648.8165,0.21582785000000004,0.4805394,0.7451605357142858,24,44,32
2UE,2,13,7.536195,1.7540195,648.2185,0.23478537500000002,0.488504875,0.7445198214285714,25,43,32
2UE,2,14,7.990464,1.7532105,648.3792,0.20071519999999998,0.48830262499999993,0.744692,24,43,33
2UE,2,15,8.016873,1.5928982,648.43835,0.198734525,0.44822455,0.744755375,24,43,33
2UE,2,16,7.8564024,1.3922106,647.83417,0.21076982,0.39805265,0.7441080392857143,25,41,34
2UE,2,17,7.693349,1.0331168,648.4463,0.22299882499999996,0.3082792,0.7447638928571428,25,40,35
2UE,2,18,7.847122,1.024674,648.92694,0.21146585,0.3061685,0.7452788642857142,25,40,35
2UE,2,19,8.087481,0.79961777,648.4352,0.19343892499999993,0.2499044425,0.7447520000000001,25,39,36
2UE,2,20,8.023645,1.022189,648.1664,0.198226625,0.30554725,0.744464,25,40,35
2UE,2,21,7.9827743,0.7455786,649.2298,0.20129192750000002,0.23639464999999998,0.7456033571428572,25,39,36
2UE,2,22,7.9527907,1.0716957,648.28345,0.20354069749999992,0.317923925,0.7445894107142857,25,40,35
2UE,2,23,7.871319,0.8866604,648.0767,0.20965107500000002,0.2716651,0.7443678928571429,25,39,36
2UE,2,24,7.9359074,1.3239243,648.40265,0.20480694500000002,0.380981075,0.744717125,24,42,34
2UE,2,25,8.141514,1.6851062,648.01,0.18938644999999993,0.47127654999999996,0.7442964285714286,24,43,33
2UE,2,26,8.110226,1.5954605,647.8625,0.19173304999999996,0.448865125,0.7441383928571428,24,43,33
2UE,2,27,7.814513,1.651879,647.7764,0.21391152500000005,0.46296975,0.7440461428571429,24,43,33
2UE,2,28,7.830576,1.7040088,647.1801,0.21270679999999997,0.4760022,0.7434072500000001,24,43,33
2UE,2,29,7.850786,1.6432285,647.59125,0.21119104999999994,0.46080712499999993,0.7438477678571429,24,43,33
2UE,2,30,7.9955974,1.7031752,646.62067,0.20033019499999993,0.4757938,0.7428078607142857,24,43,33
2UE,2,31,8.20975,1.8846412,647.0221,0.18426874999999998,0.5211603,0.7432379642857143,24,44,32
2UE,2,32,8.394386,1.9367615,647.55457,0.17042104999999996,0.5341903750000001,0.7438084678571428,23,45,32
2UE,2,33,8.346277,1.976149,647.87256,0.17402922499999995,0.54403725,0.7441491714285715,23,45,32
2UE,2,34,8.218176,1.9792078,647.43146,0.18363680000000004,0.5448019500000001,0.7436765642857144,23,45,32
2UE,2,35,8.171983,2.010683,647.73926,0.18710127499999996,0.5526707500000001,0.7440063499999999,24,44,32
2UE,2,36,8.122002,1.9654034,648.7084,0.19084985,0.54135085,0.7450447142857144,24,44,32
2UE,2,37,7.9218903,2.0178149,647.74426,0.20585822749999994,0.554453725,0.7440117071428572,24,44,32
2UE,2,38,7.826743,1.9364336,647.36194,0.21299427500000007,0.5341084,0.7436020785714287,24,44,32
2UE,2,39,8.047276,1.9905345,647.7525,0.19645430000000003,0.547633625,0.7440205357142857,24,44,32
2UE,2,40,8.090004,1.987101,647.733,0.19324969999999997,0.54677525,0.7439996428571428,24,44,32
2UE,2,41,7.711738,2.0291593,646.8382,0.22161965,0.557289825,0.7430409285714287,24,44,32
2UE,2,42,7.453298,2.0275972,648.0002,0.24100264999999998,0.5568993000000001,0.7442859285714286,24,45,31
2UE,2,43,7.4235296,1.9615157,647.8005,0.24323527999999994,0.5403789250000001,0.7440719642857144,24,44,32
2UE,2,44,7.92345,1.99363,648.8114,0.20574125000000004,0.5484075,0.7451550714285715,24,44,32
2UE,2,45,8.185965,1.9653524,647.987,0.18605262500000003,0.5413381,0.7442717857142858,24,44,32
2UE,2,46,8.133741,1.9513409,647.4397,0.18996942499999991,0.537835225,0.7436853928571429,24,44,32
2UE,2,47,7.9726515,1.9332422,647.1769,0.20205113750000003,0.53331055,0.7434038214285715,24,44,32
2UE,2,48,7.972847,1.9439464,647.11487,0.20203647500000005,0.5359866,0.7433373607142857,24,44,32
2UE,2,49,7.970956,1.9663932,647.01935,0.20217829999999998,0.5415983,0.743235017857143,24,44,32
4UE,4,0,4.9483957,2.067171,585.8233,0.47887032249999995,0.61679275,0.7276678214285714,27,44,29
4UE,4,1,4.0755496,2.132765,574.4991,0.54433378,0.63319125,0.71553475,28,43,29
4UE,4,2,4.1028366,2.0165086,568.7019,0.5422872550000001,0.60412715,0.7093234642857144,28,43,29
4UE,4,3,3.7850125,2.0619054,574.6397,0.5661240625,0.61547635,0.7156853928571427,28,43,29
4UE,4,4,3.5701401,1.9702275,574.9922,0.5822394925,0.592556875,0.7160630714285715,29,42,29
4UE,4,5,3.7165375,2.0257277,583.7344,0.5712596875,0.606431925,0.7254297142857143,28,43,29
4UE,4,6,4.0174985,2.1250243,595.3134,0.5486876125,0.631256075,0.7378357857142858,28,43,29
4UE,4,7,4.4319677,2.0808785,602.441,0.5176024225,0.6202196249999999,0.7454725,28,43,29
4UE,4,8,4.1252933,2.0512917,597.0464,0.5406030024999999,0.612822925,0.7396925714285713,28,43,29
4UE,4,9,4.1405478,1.9222994,593.327,0.539458915,0.58057485,0.7357075,28,43,29
4UE,4,10,4.159133,1.9228898,589.2101,0.5380650250000001,0.58072245,0.7312965357142857,28,43,29
4UE,4,11,3.946984,1.9158753,590.99695,0.5539762,0.5789688249999999,0.7332110178571428,28,43,29
4UE,4,12,4.1449366,1.9809339,585.61304,0.539129755,0.5952334749999999,0.7274425428571428,28,43,29
4UE,4,13,4.227831,2.0015578,579.7665,0.5329126750000001,0.60038945,0.7211783928571428,28,43,29
4UE,4,14,4.3207603,2.0580976,578.5456,0.5259429775000001,0.6145244,0.7198702857142858,28,43,29
4UE,4,15,4.6228657,2.0242014,575.6956,0.5032850725,0.60605035,0.7168167142857144,28,43,29
4UE,4,16,4.4059815,2.0354035,574.9466,0.5195513875,0.608850875,0.7160142142857142,28,43,29
4UE,4,17,4.220277,2.057026,582.3681,0.533479225,0.6142565,0.7239658214285715,28,43,29
4UE,4,18,4.3325186,2.057615,587.38794,0.5250611049999999,0.61440375,0.7293442214285714,28,43,29
4UE,4,19,4.762706,2.0798523,596.41986,0.49279704999999996,0.619963075,0.7390212785714285,27,44,29
4UE,4,20,4.3922,2.1101794,595.69507,0.5205850000000001,0.6275448499999999,0.7382447178571429,28,43,29
4UE,4,21,4.3842864,2.0636704,595.67566,0.5211785200000001,0.6159176,0.7382239214285714,28,43,29
4UE,4,22,4.2734375,2.0371954,592.60724,0.5294921874999999,0.60929885,0.7349363285714287,28,43,29
4UE,4,23,3.9109297,2.0707023,591.7411,0.5566802725,0.617675575,0.7340083214285714,28,43,29
4UE,4,24,4.1184335,2.1016588,586.4745,0.5411174875,0.6254147,0.7283655357142858,28,43,29
4UE,4,25,4.1329737,2.0848484,577.2295,0.5400269725,0.6212120999999999,0.7184601785714286,28,43,29
4UE,4,26,3.9978192,2.0805323,572.4134,0.55016356,0.6201330749999999,0.7133000714285714,28,43,29
4UE,4,27,4.0593705,2.0420315,568.46405,0.5455472124999999,0.610507875,0.709068625,28,43,29
4UE,4,28,4.266751,2.0356948,572.1054,0.529993675,0.6089237,0.7129700714285715,28,43,29
4UE,4,29,4.024117,2.0503423,580.6755,0.548191225,0.612585575,0.7221523214285714,28,43,29
4UE,4,30,4.235019,1.9466805,587.3616,0.532373575,0.586670125,0.729316,28,43,29
4UE,4,31,3.988501,2.0642576,596.724,0.550862425,0.6160644,0.7393471428571429,28,43,29
4UE,4,32,4.029541,1.9936771,598.16406,0.547784425,0.598419275,0.7408900642857142,28,43,29
4UE,4,33,4.341063,2.073047,594.1162,0.524420275,0.6182617499999999,0.7365530714285714,28,43,29
4UE,4,34,4.603155,2.0089881,594.35297,0.504763375,0.6022470249999999,0.7368067535714286,28,42,30
4UE,4,35,4.0276155,2.0786357,593.8488,0.5479288375000001,0.619658925,0.7362665714285713,28,43,29
4UE,4,36,4.1328077,1.9536611,597.9943,0.5400394225,0.5884152749999999,0.7407081785714286,28,43,29
4UE,4,37,4.4943814,2.0924723,589.17163,0.512921395,0.6231180749999999,0.7312553178571429,28,43,29
4UE,4,38,4.815685,2.0203571,582.00977,0.488823625,0.605089275,0.7235818964285714,28,43,29
4UE,4,39,4.388409,2.0804563,574.4965,0.520869325,0.6201140749999999,0.7155319642857142,28,43,29
4UE,4,40,4.726068,2.0538764,568.8135,0.49554489999999995,0.6134691,0.7094430357142857,28,43,29
4UE,4,41,4.968437,1.991437,576.27234,0.47736722499999995,0.59785925,0.71743465,27,43,30
4UE,4,42,5.1033154,2.0570705,580.80597,0.4672513450000001,0.614267625,0.7222921107142857,27,44,29
4UE,4,43,5.574378,2.0343804,587.81555,0.43192165000000005,0.6085950999999999,0.729802375,27,43,30
4UE,4,44,6.0081887,2.0616205,593.1615,0.39938584749999995,0.615405125,0.7355301785714287,26,44,30
4UE,4,45,5.998958,2.0565884,592.95325,0.40007815,0.6141471,0.7353070535714286,26,44,30
4UE,4,46,5.8775225,2.0587292,592.43066,0.40918581249999997,0.6146823,0.7347471357142856,26,44,30
4UE,4,47,6.0234203,1.9890882,592.67816,0.3982434775,0.5972720499999999,0.7350123142857142,26,44,30
